"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"二手交易平台","用户认证模块","注册接口","0","0","12","0","0"
"二手交易平台","用户认证模块","登出接口","1","0","1","0","0"
"二手交易平台","心愿管理模块","我的心愿","0","0","2","0","0"
"二手交易平台","用户认证模块","登录接口","0","0","12","0","0"
"二手交易平台","申诉管理模块","提交申诉","1","0","3","0","0"
"二手交易平台","管理员模块","申诉管理 - 审核操作","0","0","7","0","0"
"二手交易平台","管理员模块","用户管理 - 获取用户列表","2","0","2","0","0"
"二手交易平台","管理员模块","用户审核","5","0","0","0","0"
"二手交易平台","信用分管理模块","信用申诉","0","0","3","0","0"
"二手交易平台","商品评价模块","提交评价","7","0","1","0","0"
"二手交易平台","用户认证模块","密码重置接口","0","0","5","0","0"
"二手交易平台","管理员模块","申诉管理 - 获取申诉列表","0","0","6","0","0"
"二手交易平台","财务管理模块","用户充值","0","0","6","0","0"
"二手交易平台","管理员模块","商品管理 - 获取商品列表","0","0","5","0","0"
"二手交易平台","商品管理模块","创建商品","0","0","9","0","0"
"二手交易平台","商品管理模块","购买商品","2","0","3","0","0"
"二手交易平台","商品管理模块","我发布的商品","1","0","6","0","0"
"二手交易平台","管理员模块","心愿管理 - 获取心愿列表","3","0","1","0","0"
"二手交易平台","心愿管理模块","创建心愿","1","0","4","0","0"
"二手交易平台","管理员模块","商品管理 - 审核操作","3","1","2","0","0"
"二手交易平台","管理员模块","心愿管理 - 审核操作","3","0","3","0","0"
"二手交易平台","信用分管理模块","更新信用分","1","0","0","0","0"
"二手交易平台","申诉管理模块","获取申诉详情","1","0","0","0","0"
"二手交易平台","商品管理模块","商品详情","1","0","1","0","0"
"二手交易平台","信用分管理模块","获取信用分","1","0","1","0","0"
"二手交易平台","财务管理模块","用户提现","0","0","4","0","0"
"二手交易平台","商品管理模块","我购买的商品","0","0","1","0","0"
"二手交易平台","商品管理模块","我卖出的商品","0","0","1","0","0"
"二手交易平台","申诉管理模块","获取负面评价","0","0","1","0","0"
"二手交易平台","基础接口","获取CSRF Token","0","0","1","0","0"
